
# Kudo products
# id|name|cat|price|was|rating|reviews|badge|emoji|c1|c2|stock|desc|images|variants|hidden|video|qty|unitLabel|unitPrice|restockNote|addedAt|endsAt|bundleIds|sold|freeShip

p1|Aura Wireless Headphones|tech|24500|32000|4.8|1240|Best Seller|馃帶|#E4E0FF|#C9BEFF|in|Premium over-ear headphones with active noise cancellation, 40-hour battery life, and plush memory-foam ear cups. Perfect for commuting, travel, or deep work.|https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=800|Black~Ivory~Midnight Blue|||3|piece|8167|Restocking Friday|1735689600000||p5,p9|0|
p2|Nomad Canvas Backpack|bags|8900|12000|4.6|582|New|馃帓|#D9F0E1|#A8EBC7|in|Water-resistant canvas backpack with padded laptop sleeve, hidden anti-theft pocket, and leather trim. Fits a 15-inch laptop comfortably.|https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=800|Olive~Charcoal~Tan|||||||1735689600000||p3|0|
p3|Everyday Leather Wallet|bags|3500|4500|4.7|920||馃憶|#F5E6C8|#E0C79B|in|Full-grain leather bifold wallet with RFID blocking. Holds 8 cards plus cash. Ages beautifully.|https://images.unsplash.com/photo-1627123424574-724758594e93?w=800|Brown~Black~Tan|||||4|piece|875||1735689600000|0|
p4|Linen Button-Down Shirt|fashion|4200|5500|4.5|318|Summer Picks|馃憯|#EAF3FF|#C9DEF9|in|Breathable European linen shirt with a relaxed fit and coconut buttons. Cool enough for the coast, sharp enough for the city.|https://images.unsplash.com/photo-1596755094514-f87e34085b2c?w=800|White~Sky~Sand|||2|||4||1050||1735689600000|
p5|Sport Run Sneakers|shoes|6800|9500|4.9|2104|Hot Deal|馃憻|#FFE9CE|#FFC98E|in|Lightweight running shoes with responsive foam midsole and breathable knit upper. Built for daily miles and long weekends.|https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=800|Black~White~Red|||3|||3||2267|Limited sizes left|1735689600000|
p6|Cotton Crew Tee (3-Pack)|fashion|2900|3900|4.4|1420|Value Pack|馃憰|#F0F0F0|#D6D6D6|in|Heavyweight 100% cotton tees that hold their shape. Pack of three in classic neutral colors.|https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=800|Black~White~Navy||||||||||0|
p7|Minimal Steel Watch|jewelry|15900|22000|4.7|682|Editor's Pick|鈱殀#E7E7EC|#C5C5D0|in|Sapphire crystal face, Japanese quartz movement, and a brushed stainless steel band. Water resistant to 50m.|https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=800|Silver~Gold~Rose Gold|||5|||2||7950||1735689600000|
p8|Aromatherapy Candle Set|home|3400|4500|4.6|410||馃暞|#FCE8D5|#F5C9A0|in|Set of three hand-poured soy candles with essential oils 鈥� Lavender, Eucalyptus, and Cedarwood. 30-hour burn each.|https://images.unsplash.com/photo-1602874801006-e26a5b6c7e8e?w=800|Trio Set|||||||1735689600000|||0|
p9|Aura Carry Case|tech|3800|4800|4.5|215|Pairs Well|馃С|#E4E0FF|#B5AAFF|in|Hard-shell travel case designed for the Aura Headphones. Shock-absorbing, water-resistant, with interior mesh pocket.|https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=800|||Black~Ivory|||||3||1267|0|
p10|Wireless Charging Pad|tech|4900|6500|4.3|520||馃攱|#DFF0FF|#A8D4FF|in|15W fast wireless charging pad with anti-slip grip and built-in overheat protection. Works with iPhone, Samsung, and AirPods.|https://images.unsplash.com/photo-1591290619762-c0e01da2a2c8?w=800||||||4|piece|1225||1735689600000|0|
p11|Silicone Water Bottle|sports|1800|2400|4.5|380|Eco|馃毎|#D5F1E0|#A7E2BE|in|Collapsible silicone bottle that holds 750ml when full and flattens to a disc when empty. BPA-free, dishwasher safe.|https://images.unsplash.com/photo-1602143407151-7111542de6e8?w=800|Mint~Blush~Grey||||||1735689600000||||0|
p12|Leather Camera Strap|bags|3200|4000|4.8|240||馃摲|#F0DBC7|#D9B48A|in|Hand-stitched full-grain leather camera strap, adjustable from 90 to 130cm. Softens beautifully with use.|https://images.unsplash.com/photo-1502920917128-1aa500764cbd?w=800|Tan~Black|||||3|piece|1067||1735689600000|0|
p13|Rose Gold Earrings|jewelry|5200|6800|4.7|190|Gift Idea|馃拵|#FFE8EE|#FFC2D5|in|18k rose-gold plated sterling silver studs. Hypoallergenic, tarnish-resistant, and small enough for everyday wear.|https://images.unsplash.com/photo-1535632066927-ab7c9ab60908?w=800|Rose Gold~Silver||||||1735689600000||||0|
p14|Retro Polaroid Camera|tech|18900|24000|4.6|312|Classic|馃摳|#F5E8DE|#E4C8B0|in|Instant camera with a retro body, built-in flash, and selfie mirror. Takes credit-card-sized prints in seconds.|https://images.unsplash.com/photo-1526170375885-4d8ecf77b99f?w=800|Cream~Black|||||1|piece|18900|||1735689600000|
p15|Graphite Fountain Pen|home|6400|8500|4.9|148|Limited|馃枈|#E6E6EA|#BDBDC7|in|Machined graphite barrel, smooth medium nib, and a converter for bottled ink. Comes in a gift box.|https://images.unsplash.com/photo-1583485088034-697b5bc54ccd?w=800|||2||3200||1735689600000||||0|
p16|Merino Wool Beanie|fashion|1900|2600|4.4|460||馃Б|#F0E6DB|#DCC7B0|low|Extra-soft merino wool beanie, ribbed knit with a fold-over cuff. Warm without the itch.|https://images.unsplash.com/photo-1576871337622-98d48d1cf531?w=800|Charcoal~Cream~Rust|||||5|piece|380||1735689600000|0|
p17|Yoga Mat (6mm)|sports|3600|4800|4.6|740||馃|#E9DCFF|#CBB6FF|in|Non-slip TPE yoga mat with alignment lines and a carry strap. 6mm thick for joint comfort.|https://images.unsplash.com/photo-1591290619762-c0e01da2a2c8?w=800|Purple~Teal~Charcoal||||||1735689600000||||0|
